X,Y,Location,dollars_LE24,borrowers_LE24,dollars_25_34,borrowers_25_34,dollars_35_49,borrowers_35_49,dollars_50_61,borrowers_50_61,dollars_GE62,borrowers_GE62,avg_balance_LE24,avg_balance_25_34,avg_balance_35_49,avg_balance_50_61,avg_balance_GE62,FID
-86.2817934878693,39.9198069641047,Indiana,2.61999988555908,179.100006103516,9.44999980926514,310.700012207031,10.210000038147,253.699996948242,4.19000005722046,107.400001525879,0.990000009536743,25.3999996185303,14628.69921875,30415.19140625,40244.3828125,39013.03515625,38976.37890625,15
-93.4999724112008,42.0746981039627,Iowa,1.48000001907349,100.300003051758,4.48000001907349,153.699996948242,4.32000017166138,114.300003051758,1.69000005722046,48.2000007629395,0.409999996423721,11.3000001907349,14755.732421875,29147.689453125,37795.27734375,35062.2421875,36283.1875,16
-98.3801706292188,38.4847267132401,Kansas,1.14999997615814,79.5,3.96000003814697,131.699996948242,4.23999977111816,103.099998474121,1.72000002861023,44.7000007629395,0.449999988079071,11.6000003814697,14465.4091796875,30068.337890625,41125.12109375,38478.74609375,38793.1015625,17
-85.2876200676412,37.527232523956,Kentucky,1.63999998569489,111.699996948242,6.6100001335144,206.899993896484,6.82000017166138,175.399993896484,2.25,64.0999984741211,0.469999998807907,13.8000001907349,14682.1845703125,31947.80078125,38882.5546875,35101.40234375,34057.97265625,18
-91.4264200004315,30.1858461672534,Louisiana,1.85000002384186,131.100006103516,7.07000017166138,210.399993896484,7.42999982833862,168.699996948242,2.51999998092651,68.6999969482422,0.699999988079071,20.7999992370605,14111.365234375,33602.66015625,44042.6796875,36681.22265625,33653.84765625,19
-69.2039470608636,45.3152499220032,Maine,0.660000026226044,41.2000007629395,2.04999995231628,64.3000030517578,1.77999997138977,45,0.829999983310699,21.1000003814697,0.239999994635582,5.40000009536743,16019.4169921875,31881.8046875,39555.5546875,39336.4921875,44444.4453125,20
-76.1587300003377,38.8181992843377,Maryland,2.63000011444092,157.5,10.8699998855591,276.5,11.3699998855591,217.100006103516,5.69000005722046,111.699996948242,1.53999996185303,30.8999996185303,16698.412109375,39312.83984375,52372.1796875,50940.01953125,49838.1875,21
-71.7181849998402,42.3586703240193,Massachusetts,4.07000017166138,240.300003051758,11.6099996566772,329.600006103516,7.26999998092651,174.199996948242,4,90.5999984741211,1.23000001907349,26.2999992370605,16937.162109375,35224.515625,41733.640625,44150.109375,46768.0625,22
-84.196697500222,44.1251998339073,Michigan,4.55000019073486,282.399993896484,17.4200000762939,496.399993896484,16.5599994659424,382.899993896484,6.98000001907349,177.600006103516,1.73000001907349,47.0999984741211,16111.8984375,35092.66796875,43248.890625,39301.80078125,36730.359375,23
-94.2007905827901,46.3488557658038,Minnesota,2.80999994277954,181.600006103516,9.64000034332275,298.899993896484,8.40999984741211,194.699996948242,3.09999990463257,77.9000015258789,0.730000019073486,18.7000007629395,15473.568359375,32251.58984375,43194.66015625,39794.609375,39037.43359375,24
-89.6571758079141,32.7239777992709,Mississippi,1.12000000476837,80.3000030517578,4.65999984741211,141.399993896484,6.03999996185303,128.300003051758,2.05999994277954,51.5999984741211,0.519999980926514,14.3999996185303,13947.6962890625,32956.15234375,47077.1640625,39922.48046875,36111.109375,25
-92.4777466168759,38.367982746251,Missouri,2.34999990463257,152,9.52999973297119,288.200012207031,10.1000003814697,232,4.07999992370605,103,1.05999994277954,27.7000007629395,15460.5263671875,33067.3125,43534.484375,39611.65234375,38267.1484375,26
